item	subtype	subsubtype	optionality	response
Overcoat	Duffle coat	-	"body: F
collar: F
toggles: F
hood: T
lining: T"	"1. body: wool or heavy fabric
2. collar: wool or heavy fabric
3. toggles: wood or horn and leather
4. hood: wool or heavy fabric
5. lining: polyester or quilted fabric"
Overcoat	Insulated Hooded Parka	-	"body: F
collar: F
hood: F
foreclosures: F
lining: F"	"1. body: cotton, nylon, and/or polyester
2. collar: fur and/or synthetic fur
3. hood: cotton, nylon, and/or polyester
4. foreclosures: metal, plastic, and/or velcro
5. lining: down, polyester, and/or fleece"
Overcoat	Greatcoat	-	"body: F
collar: F
cuffs: F
cape: T
lining: T"	"1. body: wool or synthetic fabric
2. collar: wool or synthetic fabric
3. cuffs: wool or synthetic fabric
4. cape: wool or synthetic fabric
5. lining: silk, polyester, or nylon"
Overcoat	Over-frock	-	"body: F
collar: F
cuffs: F
lining: T
skirt: F"	"1. body: cotton, wool, silk, or synthetic fibers
2. collar: cotton, wool, silk, or synthetic fibers
3. cuffs: cotton, wool, silk, or synthetic fibers
4. lining: silk, polyester, or acetate
5. skirt: cotton, wool, silk, or synthetic fibers"
Overhead projector	Transparency overhead projector	-	"base: F
stage: F
arm: F
head: F
lens: F
lamp: F
reflector: F
cooling fan: F
power cord: F"	"1. base: metal and/or plastic
2. stage: glass and/or plastic
3. arm: metal and/or plastic
4. head: metal and/or plastic
5. lens: glass
6. lamp: metal, glass, and electronics
7. reflector: metal or coated glass
8. cooling fan: metal and/or plastic
9. power cord: copper and insulation material"
Overhead projector	Transmissive overhead projector	-	"base: F
stage: F
arm: F
head: F
lens: F
lamp: F
mirror: F
cooling fan: F
power cord: F"	"1. base: metal and/or plastic
2. stage: glass
3. arm: metal and/or plastic
4. head: plastic and/or metal
5. lens: glass or plastic
6. lamp: glass and metal
7. mirror: glass with a reflective coating
8. cooling fan: plastic and electronics
9. power cord: plastic and copper"
Overpass	Beam Bridge Overpass	-	"deck: F
beams: F
piers: F
abutments: F"	"1. deck: concrete, steel or timber
2. beams: concrete or steel
3. piers: concrete or steel
4. abutments: concrete or steel"
Overpass	Arch bridge overpass	-	"deck: F
arches: F
spandrels: F
foundations: F
abutments: F"	"1. deck: concrete, steel, stone, or wood
2. arches: concrete, steel, stone, or brick
3. spandrels: concrete, steel, or brick
4. foundations: concrete, steel, or stone
5. abutments: concrete, steel, or stone"
Overpass	Cantilever bridge overpass	-	"deck: F
towers: F
cantilever arms: F
anchor arms: F"	"1. deck: concrete and/or steel
2. towers: steel or concrete
3. cantilever arms: steel or concrete
4. anchor arms: steel or concrete"
Overpass	Cable-stayed overpass bridge	-	"deck: F
pylons: F
stay cables: F
foundations: F"	"1. deck: concrete, steel, and/or composite materials
2. pylons: concrete or steel
3. stay cables: steel or carbon fiber
4. foundations: concrete and steel"
Overpass	Truss bridge overpass	-	"deck: F
trusses: F
piers: F
abutments: F"	"1. deck: concrete or steel or timber
2. trusses: steel or timber
3. piers: concrete or steel
4. abutments: concrete or steel"
Owner's manual	-	-	"cover: F
pages: F
binding: F"	"1. cover: paper or plastic
2. pages: paper
3. binding: paper or cloth"
Oxford shoe	-	-	"quarters: F
vamp: F
laces: F
heel: F
outsole: F"	"1. quarters: leather
2. vamp: leather
3. laces: cotton, nylon, or leather
4. heel: wood, leather, rubber, or plastic
5. outsole: leather, rubber, or synthetic material"
Oxygen mask	Simple face mask	-	"body: F
straps: F
exhalation ports: F"	"1. body: cotton, polypropylene, and/or silk
2. straps: rubber, elastic, and/or cloth
3. exhalation ports: plastic or metal"
Oxygen mask	Non-rebreather mask	-	"body: F
straps: F
reservoir bag: F
one-way valves: F"	"1. body: plastic
2. straps: elastic
3. reservoir bag: plastic
4. one-way valves: plastic or silicone"
Oxygen mask	Venturi mask	-	"body: F
straps: F
diluter jets: F
venturi valve: F"	"1. body: plastic
2. straps: elastic material
3. diluter jets: plastic and/or metal
4. venturi valve: plastic"
PC speaker	Stereo computer speakers	-	"housing: F
drivers: F
internal wiring: F
input ports: F"	"1. housing: wood, plastic, or metal
2. drivers: paper, plastic, metal, and fabric
3. internal wiring: copper and insulation materials
4. input ports: metal and plastic"
PC speaker	2.1 speaker system	-	"housing: F
drivers: F
internal wiring: F
input ports: F
subwoofer: F"	"1. housing: plastic, wood, or metal
2. drivers: metal, plastic, and paper or fabric
3. internal wiring: copper
4. input ports: metal and plastic
5. subwoofer: wood, metal, and plastic"
PC speaker	PC surround sound speaker system	-	"housing: F
multiple drivers: F
internal wiring: F
input ports: F
central unit: F"	"1. housing: plastic, wood, or metal
2. multiple drivers: paper, plastics, metals, and fabric
3. internal wiring: copper and insulation materials
4. input ports: plastics and metal
5. central unit: electronics, plastic, and metal"
Pacifier	Single-piece pacifier	-	"shield: F
nipple: F"	"1. shield: silicone or rubber
2. nipple: silicone or rubber"
Pacifier	Multi-component pacifier	-	"shield: F
nipple: F
handle: T
ring: T"	"1. shield: plastic
2. nipple: silicone or latex
3. handle: plastic
4. ring: plastic"
Packet (container)	-	-	"body: F
seal: F"	"1. body: paper, aluminum, and/or plastic
2. seal: adhesive or heat-sealable material"
Paddle	-	-	"blade: F
shaft: F
grip: F"	"1. blade: wood, carbon fiber, fiberglass, or plastic
2. shaft: wood, carbon fiber, aluminum, or fiberglass
3. grip: rubber or synthetic materials"
Paddle (spanking)	-	-	"blade: F
handle: F"	"1. blade: wood or leather
2. handle: wood or leather"
Paddle steamer	Side-wheel paddle steamer	-	"hull: F
paddle wheels: F
engine: F
superstructure: F"	"1. hull: steel or aluminum
2. paddle wheels: steel, wood, and/or composite materials
3. engine: steel, aluminum, and various metals
4. superstructure: steel, aluminum, and/or composites"
Paddle steamer	Stern-wheel paddle steamer	-	"hull: F
paddle wheel: F
engine: F
superstructure: F"	"1. hull: steel or aluminum
2. paddle wheel: wood or steel
3. engine: metal and electronics
4. superstructure: steel, aluminum, and/or composite materials"
Paddle steamer	Twin-screw paddle steamer	-	"hull: F
paddle wheels: F
two independent engines: F
superstructure: F"	"1. hull: steel or aluminum
2. paddle wheels: wood and/or metal
3. two independent engines: metal, electronics
4. superstructure: steel, aluminum, and/or composites"
Padlock	Combination padlock	-	"body: F
shackle: F
combination wheels: F
internal mechanism: F"	"1. body: metal or plastic
2. shackle: hardened steel
3. combination wheels: plastic or metal
4. internal mechanism: metal"
Padlock	Keyed padlock	-	"body: F
shackle: F
keyhole: F
internal mechanism: F"	"1. body: metal
2. shackle: hardened steel
3. keyhole: metal
4. internal mechanism: metal"
Pagoda	Stupa-style pagoda	-	"dome: F
harmika: F
chattra: F"	"1. dome: stone, brick and/or concrete
2. harmika: stone, brick, wood, and/or metal
3. chattra: metal, wood, and/or stone"
Pagoda	Multi-tiered pagoda	-	"multiple stories: F
eaves: F
finial: F"	"1. multiple stories: wood or stone
2. eaves: wood or metal
3. finial: wood, metal, or stone"
Pagoda	Taihu stone pagoda	-	"stone base: F
levels: F
pavilion-style eaves: F"	"1. stone base: limestone or dolomite
2. levels: limestone or dolomite
3. pavilion-style eaves: limestone or dolomite"
Pagoda	Wooden pagoda	-	"central pillar: F
brackets: F
multi-story wooden frame: F
tiled roof: F"	"1. central pillar: wood
2. brackets: wood
3. multi-story wooden frame: wood
4. tiled roof: clay or stone tiles"
Pagoda	Japanese pagoda	-	"central pillar: F
balconies: F
multiple levels: F
curved eaves: F"	"1. central pillar: wood
2. balconies: wood
3. multiple levels: wood
4. curved eaves: wood"
Pail (container)	-	-	"body: F
handle: F"	"1. body: plastic or metal
2. handle: metal or plastic"
Paint roller	-	-	"handle: F
roller frame: F
roller cover: F"	"1. handle: plastic or wood
2. roller frame: metal
3. roller cover: foam or synthetic fabrics"
Paintball marker	Mechanical marker	-	"body: F
barrel: F
trigger: F
bolt: F
valve: F
hopper: T
air source adapter: F"	"1. body: aluminum or composites
2. barrel: aluminum, stainless steel, carbon fiber, and/or brass
3. trigger: aluminum, plastic, or composite materials
4. bolt: aluminum or delrin
5. valve: aluminum and/or stainless steel
6. hopper: plastic
7. air source adapter: aluminum or metal"
Paintball marker	Electro-pneumatic marker	-	"body: F
barrel: F
trigger: F
bolt: F
valve: F
circuit board: F
solenoid: F
battery: F
hopper: T
air source adapter: F"	"1. body: metal or composite materials
2. barrel: aluminum, stainless steel, carbon fiber, and/or brass
3. trigger: metal or plastic
4. bolt: metal or plastic
5. valve: metal or plastic
6. circuit board: electronics
7. solenoid: electronics and metal
8. battery: metal and electronics
9. hopper: plastic
10. air source adapter: metal"
Paintball marker	Pump-action Paintball Marker	-	"body: F
barrel: F
trigger: F
bolt: F
valve: F
pump handle: F
hopper: T
air source adapter: F"	"1. body: metal or plastic
2. barrel: metal or plastic
3. trigger: metal or plastic
4. bolt: metal
5. valve: metal and/or plastic
6. pump handle: metal or plastic
7. hopper: plastic
8. air source adapter: metal"
Paintbrush	-	-	"handle: F
bristle: F
ferrule: F"	"1. handle: wood or plastic
2. bristle: animal hair, nylon, and/or polyester
3. ferrule: metal"
Painting	-	-	"canvas: F
paint: F
frame: T"	"1. canvas: cotton or linen
2. paint: oil or acrylic
3. frame: wood or metal"
Palette (painting)	-	-	-: F	wood, plastic, or glass
Pamphlet	-	-	"cover: F
pages: F
staple: T"	"1. cover: paper
2. pages: paper
3. staple: metal"
Panties	-	-	"waistband: F
front panel: F
rear panel: F
leg openings: F
crotch liner: T"	"1. waistband: elastic
2. front panel: cotton, silk, modal, lyocell, lace, or synthetic fabrics
3. rear panel: cotton, silk, modal, lyocell, lace, or synthetic fabrics
4. leg openings: elastic and fabric
5. crotch liner: cotton"
Pantry	-	-	"walls: F
door: F
shelves: F"	"1. walls: wood, metal, and/or drywall
2. door: wood, plastic, or metal
3. shelves: wood, metal, or plastic"
Pantsuit	business pantsuit	-	"jacket: F
trousers: F
lapels: F"	"1. jacket: wool, cotton, linen, polyester, or rayon
2. trousers: wool, cotton, linen, polyester, or rayon
3. lapels: silk or satin"
Pantsuit	tuxedo pantsuit	-	"jacket: F
trousers: F
lapels: F
satin stripes: F
satin lapels: F"	"1. jacket: wool and/or polyester and/or cotton
2. trousers: wool and/or polyester and/or cotton
3. lapels: wool and/or polyester and/or cotton
4. satin stripes: satin
5. satin lapels: satin"
Pantsuit	casual pantsuit	-	"jacket: F
trousers: F"	"1. jacket: cotton, linen, wool, polyester, or blends
2. trousers: cotton, linen, wool, polyester, or blends"
Pantyhose	-	-	"waistband: F
panty: T
leg: F
toe: F
gusset: T
thigh band: T"	"1. waistband: elastic
2. panty: nylon or spandex
3. leg: nylon or spandex
4. toe: nylon or spandex
5. gusset: cotton or nylon
6. thigh band: elastic"
Paper bag	-	-	"face: F
back: F
bottom: F
side gussets: T"	"1. face: paper
2. back: paper
3. bottom: paper
4. side gussets: paper"
Paper clip	-	-	-: F	steel or plastic
Paper cup	-	-	"body: F
base: F"	"1. body: paper
2. base: paper"
Paper cutter	Guillotine cutter	-	"base: F
blade: F
arm: F
clamp: F
grid lines: F"	"1. base: metal or wood
2. blade: steel
3. arm: metal or wood
4. clamp: metal
5. grid lines: paint, printing ink, and/or vinyl stickers"
Paper cutter	Rotary paper cutter	-	"base: F
circular blade: F
grid lines: F
sliding blade carriage: F"	"1. base: metal or plastic
2. circular blade: steel
3. grid lines: paint
4. sliding blade carriage: metal and/or plastic"
Paper cutter	Stack cutter	-	"base: F
blade: F
clamp: F
grid lines: F
backstop: F"	"1. base: metal or plastic
2. blade: steel
3. clamp: metal
4. grid lines: paint
5. backstop: plastic or metal"
Paper cutter	Die-Cut Form Cutter	-	"base: F
cutting tool: F
grid lines: F"	"1. base: metal or plastic
2. cutting tool: metal
3. grid lines: paint or printed ink"
Paper doll	-	-	-: F	paper
Paper lantern	Suspended paper lantern	-	"frame: F
cover: F
fastening method: F"	"1. frame: metal or wood
2. cover: glass or paper
3. fastening method: metal or rope"
Paper lantern	Freestanding Paper Lantern	-	"frame: F
cover: F
base: F"	"1. frame: metal or wood
2. cover: paper, fabric, glass, or plastic
3. base: metal, wood, or plastic"
Paper lantern	Sky lantern	-	"frame: F
cover: F
fuel cell: F"	"1. frame: wire or bamboo
2. cover: paper or fire-resistant materials
3. fuel cell: wax or a flammable solid fuel"
Paper lantern	Floating Water Lantern	-	"frame: F
cover: F
floating base: F"	"1. frame: bamboo or wood
2. cover: paper or silk
3. floating base: foam or cork"
Paper shredder	-	-	"motor: F
shredding blades: F
paper input: F
waste bin: F"	"1. motor: metal and electronics
2. shredding blades: metal
3. paper input: plastic and/or metal
4. waste bin: plastic or metal"
Paper towel	-	-	-: F	absorbent paper
Paperback	-	-	"cover: F
spine: F
pages: F"	"1. cover: paper or cardboard
2. spine: paper or cloth
3. pages: paper"
Paperweight	-	-	-: F	glass, crystal, stone, metal, or acrylic
Parachute	Round parachute	-	"canopy: F
shroud lines: F
risers: F
harness: F
pilot chute: T"	"1. canopy: nylon or polyester
2. shroud lines: nylon or dacron
3. risers: nylon or polyester
4. harness: nylon and/or polyester
5. pilot chute: nylon or polyester"
Parachute	Ram-air parachute	-	"cells: F
suspension lines: F
risers: F
harness: F
pilot chute: T"	"1. cells: nylon or polyester
2. suspension lines: Kevlar or nylon
3. risers: webbing
4. harness: nylon webbing
5. pilot chute: nylon or polyester"
Parachute	Annular parachute	-	"canopy: F
shroud lines: F
risers: F
harness: F
vent: F"	"1. canopy: nylon or polyester
2. shroud lines: nylon
3. risers: webbing material, which is typically nylon
4. harness: nylon, webbing material
5. vent: nylon or polyester"
Parachute	Rogallo wing parachute	-	"wing: F
keel: F
shroud lines: F
risers: F
harness: F"	"1. wing: fabric or ripstop nylon
2. keel: aluminum
3. shroud lines: nylon
4. risers: nylon or polyester
5. harness: nylon, metal, and webbing"
Parachute	Cruciform parachute	-	"canopy: F
shroud lines: F
risers: F
harness: F
air channels: F"	"1. canopy: nylon or polyester
2. shroud lines: nylon
3. risers: nylon or polyester
4. harness: nylon
5. air channels: nylon or polyester"
Parish church	Basilica-style Parish Church	-	"nave: F
aisles: F
apse: F
transept: T
altar: F"	"1. nave: stone, brick, concrete, and/or wood
2. aisles: stone, brick, concrete, and/or wood
3. apse: stone, brick, concrete, and/or wood
4. transept: stone, brick, concrete, and/or wood
5. altar: stone, wood, marble, and/or metal"
Parish church	Cathedral Church	-	"nave: F
aisles: F
apse: F
transept: F
choir: F
sanctuary: F
chapter house: T
cathedral close: T"	"1. nave: stone and/or brick
2. aisles: stone and/or brick
3. apse: stone and/or brick
4. transept: stone and/or brick
5. choir: stone and/or brick
6. sanctuary: stone and/or brick
7. chapter house: stone and/or brick
8. cathedral close: stone and/or brick"
